method,dataset,step_setting,metric,time_type,result,prc_threshold
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,False
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.3549382716049383,False
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.12612042517453928,False
Cooccurrence,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,False
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,,False
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,False
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,False
Cooccurrence,GarciaAlonsoDataset,simple,AUC_ROC,Pseudotime,0.8451612903225807,False
Cooccurrence,SuoDataset,all_paths,threshold,Pseudotime,0.18601355671477698,False
Cooccurrence,SuoDataset,all_paths,F1,Pseudotime,0.5684210526315789,False
Cooccurrence,SuoDataset,all_paths,AUC_PRC,Pseudotime,,False
Cooccurrence,SuoDataset,all_paths,PRECISION,Pseudotime,0.8181818181818182,False
Cooccurrence,SuoDataset,all_paths,RECALL,Pseudotime,0.43548387096774194,False
Cooccurrence,SuoDataset,all_paths,AUC_ROC,Pseudotime,0.45352651722252596,False
Cooccurrence,SuoDataset,simple,threshold,Pseudotime,0.12579103710238096,False
Cooccurrence,SuoDataset,simple,F1,Pseudotime,0.23809523809523808,False
Cooccurrence,SuoDataset,simple,AUC_PRC,Pseudotime,,False
Cooccurrence,SuoDataset,simple,PRECISION,Pseudotime,0.15625,False
Cooccurrence,SuoDataset,simple,RECALL,Pseudotime,0.5,False
Cooccurrence,SuoDataset,simple,AUC_ROC,Pseudotime,0.6423423423423423,False
Cooccurrence,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.3787878787878788,False
Cooccurrence,SuoDataset,simple,JaccardSimilarity,Real Time,0.2222222222222222,False
Cooccurrence,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.53125,False
Cooccurrence,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.14285714285714285,False
Cooccurrence,MaDataset,all_paths,JaccardSimilarity,Real Time,0.5,False
Cooccurrence,MaDataset,simple,JaccardSimilarity,Real Time,0.375,False
Cooccurrence,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.6666666666666666,False
Cooccurrence,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.4166666666666667,False
Cooccurrence,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.39705882352941174,False
Cooccurrence,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.13513513513513514,False
Cooccurrence,MaDataset,all_paths,threshold,Pseudotime,0.22044812977228165,False
Cooccurrence,MaDataset,all_paths,F1,Pseudotime,0.8571428571428571,False
Cooccurrence,MaDataset,all_paths,AUC_PRC,Pseudotime,,False
Cooccurrence,MaDataset,all_paths,PRECISION,Pseudotime,0.75,False
Cooccurrence,MaDataset,all_paths,RECALL,Pseudotime,1.0,False
Cooccurrence,MaDataset,all_paths,AUC_ROC,Pseudotime,0.23809523809523808,False
Cooccurrence,MaDataset,simple,threshold,Pseudotime,0.2248134310300052,False
Cooccurrence,MaDataset,simple,F1,Pseudotime,0.5714285714285714,False
Cooccurrence,MaDataset,simple,AUC_PRC,Pseudotime,,False
Cooccurrence,MaDataset,simple,PRECISION,Pseudotime,0.5,False
Cooccurrence,MaDataset,simple,RECALL,Pseudotime,0.6666666666666666,False
Cooccurrence,MaDataset,simple,AUC_ROC,Pseudotime,0.7692307692307692,False
Cooccurrence,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.75,False
Cooccurrence,MaDataset,simple,JaccardSimilarity,Pseudotime,0.4,False
Cooccurrence,SuoDataset,all_paths,threshold,Real Time,0.001064128557636343,True
Cooccurrence,SuoDataset,all_paths,F1,Real Time,0.6775956284153005,True
Cooccurrence,SuoDataset,all_paths,AUC_PRC,Real Time,0.4801838680945384,True
Cooccurrence,SuoDataset,all_paths,PRECISION,Real Time,0.512396694214876,True
Cooccurrence,SuoDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,SuoDataset,all_paths,AUC_ROC,Real Time,0.3687807545106616,True
Cooccurrence,SuoDataset,simple,threshold,Real Time,0.0009098932140329426,True
Cooccurrence,SuoDataset,simple,F1,Real Time,0.17857142857142858,True
Cooccurrence,SuoDataset,simple,AUC_PRC,Real Time,0.17217323118058414,True
Cooccurrence,SuoDataset,simple,PRECISION,Real Time,0.09803921568627451,True
Cooccurrence,SuoDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,SuoDataset,simple,AUC_ROC,Real Time,0.6513513513513515,True
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.09612493386736341,True
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.36102865957379493,True
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5,True
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.1080246913580247,True
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Real Time,0.03461266566614684,True
Cooccurrence,GarciaAlonsoDataset,simple,F1,Real Time,0.29411764705882354,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.18056971514242878,True
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.1724137931034483,True
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_ROC,Real Time,0.45806451612903226,True
Cooccurrence,MaDataset,all_paths,threshold,Real Time,0.08167714157250863,True
Cooccurrence,MaDataset,all_paths,F1,Real Time,0.72,True
Cooccurrence,MaDataset,all_paths,AUC_PRC,Real Time,0.470959595959596,True
Cooccurrence,MaDataset,all_paths,PRECISION,Real Time,0.5625,True
Cooccurrence,MaDataset,all_paths,RECALL,Real Time,1.0,True
Cooccurrence,MaDataset,all_paths,AUC_ROC,Real Time,0.1746031746031746,True
Cooccurrence,MaDataset,simple,threshold,Real Time,0.08167714157250863,True
Cooccurrence,MaDataset,simple,F1,Real Time,0.5454545454545454,True
Cooccurrence,MaDataset,simple,AUC_PRC,Real Time,0.4027777777777778,True
Cooccurrence,MaDataset,simple,PRECISION,Real Time,0.375,True
Cooccurrence,MaDataset,simple,RECALL,Real Time,1.0,True
Cooccurrence,MaDataset,simple,AUC_ROC,Real Time,0.7435897435897436,True
Cooccurrence,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.12612042517453928,True
Cooccurrence,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.4623482909881377,True
Cooccurrence,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.6666666666666666,True
Cooccurrence,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,True
Cooccurrence,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.3549382716049383,True
Cooccurrence,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.12612042517453928,True
Cooccurrence,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.37103174603174605,True
Cooccurrence,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,True
Cooccurrence,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,True
Cooccurrence,GarciaAlonsoDataset,simple,AUC_ROC,Pseudotime,0.8451612903225807,True
Cooccurrence,SuoDataset,all_paths,threshold,Pseudotime,0.0036303935097467843,True
Cooccurrence,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005,True
Cooccurrence,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5365429106021217,True
Cooccurrence,SuoDataset,all_paths,PRECISION,Pseudotime,0.512396694214876,True
Cooccurrence,SuoDataset,all_paths,RECALL,Pseudotime,1.0,True
Cooccurrence,SuoDataset,all_paths,AUC_ROC,Pseudotime,0.45352651722252596,True
Cooccurrence,SuoDataset,simple,threshold,Pseudotime,0.00046996760508851733,True
Cooccurrence,SuoDataset,simple,F1,Pseudotime,0.16666666666666666,True
Cooccurrence,SuoDataset,simple,AUC_PRC,Pseudotime,0.18666632838016994,True
Cooccurrence,SuoDataset,simple,PRECISION,Pseudotime,0.09090909090909091,True
Cooccurrence,SuoDataset,simple,RECALL,Pseudotime,1.0,True
Cooccurrence,SuoDataset,simple,AUC_ROC,Pseudotime,0.6423423423423423,True
Cooccurrence,MaDataset,all_paths,threshold,Pseudotime,0.22044812977228165,True
Cooccurrence,MaDataset,all_paths,F1,Pseudotime,0.8571428571428571,True
Cooccurrence,MaDataset,all_paths,AUC_PRC,Pseudotime,0.549074074074074,True
Cooccurrence,MaDataset,all_paths,PRECISION,Pseudotime,0.75,True
Cooccurrence,MaDataset,all_paths,RECALL,Pseudotime,1.0,True
Cooccurrence,MaDataset,all_paths,AUC_ROC,Pseudotime,0.23809523809523808,True
Cooccurrence,MaDataset,simple,threshold,Pseudotime,0.07146371436449742,True
Cooccurrence,MaDataset,simple,F1,Pseudotime,0.46153846153846156,True
Cooccurrence,MaDataset,simple,AUC_PRC,Pseudotime,0.6,True
Cooccurrence,MaDataset,simple,PRECISION,Pseudotime,0.3,True
Cooccurrence,MaDataset,simple,RECALL,Pseudotime,1.0,True
Cooccurrence,MaDataset,simple,AUC_ROC,Pseudotime,0.7692307692307692,True
Cooccurrence,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.512396694214876,True
Cooccurrence,SuoDataset,simple,JaccardSimilarity,Real Time,0.09803921568627451,True
Cooccurrence,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5,True
Cooccurrence,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.1724137931034483,True
Cooccurrence,MaDataset,all_paths,JaccardSimilarity,Real Time,0.5625,True
Cooccurrence,MaDataset,simple,JaccardSimilarity,Real Time,0.375,True
Cooccurrence,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.6666666666666666,True
Cooccurrence,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.4166666666666667,True
Cooccurrence,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.512396694214876,True
Cooccurrence,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.09090909090909091,True
Cooccurrence,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.75,True
Cooccurrence,MaDataset,simple,JaccardSimilarity,Pseudotime,0.3,True
Moscot,SuoDataset,all_paths,threshold,Real Time,0.072408535,False
Moscot,SuoDataset,all_paths,F1,Real Time,0.7522935779816514,False
Moscot,SuoDataset,all_paths,AUC_PRC,Real Time,,False
Moscot,SuoDataset,all_paths,PRECISION,Real Time,0.8723404255319149,False
Moscot,SuoDataset,all_paths,RECALL,Real Time,0.6612903225806451,False
Moscot,SuoDataset,all_paths,AUC_ROC,Real Time,0.5537178786221979,False
Moscot,SuoDataset,simple,threshold,Real Time,0.028251829,False
Moscot,SuoDataset,simple,F1,Real Time,0.3111111111111111,False
Moscot,SuoDataset,simple,AUC_PRC,Real Time,,False
Moscot,SuoDataset,simple,PRECISION,Real Time,0.2,False
Moscot,SuoDataset,simple,RECALL,Real Time,0.7,False
Moscot,SuoDataset,simple,AUC_ROC,Real Time,0.6765765765765765,False
Moscot,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.32776618,False
Moscot,GarciaAlonsoDataset,all_paths,F1,Real Time,0.56,False
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,,False
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,1.0,False
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Real Time,0.3888888888888889,False
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.2993827160493827,False
Moscot,GarciaAlonsoDataset,simple,threshold,Real Time,0.030271398,False
Moscot,GarciaAlonsoDataset,simple,F1,Real Time,0.3448275862068966,False
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,,False
Moscot,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.20833333333333334,False
Moscot,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0,False
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Real Time,0.6451612903225806,False
Moscot,MaDataset,all_paths,threshold,Real Time,0.1369748,False
Moscot,MaDataset,all_paths,F1,Real Time,0.875,False
Moscot,MaDataset,all_paths,AUC_PRC,Real Time,,False
Moscot,MaDataset,all_paths,PRECISION,Real Time,1.0,False
Moscot,MaDataset,all_paths,RECALL,Real Time,0.7777777777777778,False
Moscot,MaDataset,all_paths,AUC_ROC,Real Time,0.42857142857142855,False
Moscot,MaDataset,simple,threshold,Real Time,0.1369748,False
Moscot,MaDataset,simple,F1,Real Time,0.8,False
Moscot,MaDataset,simple,AUC_PRC,Real Time,,False
Moscot,MaDataset,simple,PRECISION,Real Time,1.0,False
Moscot,MaDataset,simple,RECALL,Real Time,0.6666666666666666,False
Moscot,MaDataset,simple,AUC_ROC,Real Time,0.8461538461538461,False
Moscot,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.07638191,False
Moscot,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8372093023255814,False
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,,False
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.72,False
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,False
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.4444444444444444,False
Moscot,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.066715725,False
Moscot,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,False
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,,False
Moscot,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,False
Moscot,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,False
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Pseudotime,0.8709677419354839,False
Moscot,SuoDataset,all_paths,threshold,Pseudotime,0.030846484,False
Moscot,SuoDataset,all_paths,F1,Pseudotime,0.7424242424242424,False
Moscot,SuoDataset,all_paths,AUC_PRC,Pseudotime,,False
Moscot,SuoDataset,all_paths,PRECISION,Pseudotime,0.7,False
Moscot,SuoDataset,all_paths,RECALL,Pseudotime,0.7903225806451613,False
Moscot,SuoDataset,all_paths,AUC_ROC,Pseudotime,0.5680699835975942,False
Moscot,SuoDataset,simple,threshold,Pseudotime,0.07499062,False
Moscot,SuoDataset,simple,F1,Pseudotime,0.3870967741935484,False
Moscot,SuoDataset,simple,AUC_PRC,Pseudotime,,False
Moscot,SuoDataset,simple,PRECISION,Pseudotime,0.2857142857142857,False
Moscot,SuoDataset,simple,RECALL,Pseudotime,0.6,False
Moscot,SuoDataset,simple,AUC_ROC,Pseudotime,0.6833333333333333,False
Moscot,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.6029411764705882,False
Moscot,SuoDataset,simple,JaccardSimilarity,Real Time,0.18421052631578946,False
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.3888888888888889,False
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.20833333333333334,False
Moscot,MaDataset,all_paths,JaccardSimilarity,Real Time,0.7777777777777778,False
Moscot,MaDataset,simple,JaccardSimilarity,Real Time,0.6666666666666666,False
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.72,False
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.4166666666666667,False
Moscot,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5903614457831325,False
Moscot,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.24,False
Moscot,MaDataset,all_paths,threshold,Pseudotime,0.112059474,False
Moscot,MaDataset,all_paths,F1,Pseudotime,0.9473684210526315,False
Moscot,MaDataset,all_paths,AUC_PRC,Pseudotime,,False
Moscot,MaDataset,all_paths,PRECISION,Pseudotime,0.9,False
Moscot,MaDataset,all_paths,RECALL,Pseudotime,1.0,False
Moscot,MaDataset,all_paths,AUC_ROC,Pseudotime,0.5079365079365079,False
Moscot,MaDataset,simple,threshold,Pseudotime,0.09785203,False
Moscot,MaDataset,simple,F1,Pseudotime,0.8571428571428571,False
Moscot,MaDataset,simple,AUC_PRC,Pseudotime,,False
Moscot,MaDataset,simple,PRECISION,Pseudotime,0.75,False
Moscot,MaDataset,simple,RECALL,Pseudotime,1.0,False
Moscot,MaDataset,simple,AUC_ROC,Pseudotime,0.9230769230769231,False
Moscot,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.9,False
Moscot,MaDataset,simple,JaccardSimilarity,Pseudotime,0.75,False
Moscot,SuoDataset,all_paths,threshold,Real Time,0.062115148,True
Moscot,SuoDataset,all_paths,F1,Real Time,0.7692307692307693,True
Moscot,SuoDataset,all_paths,AUC_PRC,Real Time,0.5853197277539466,True
Moscot,SuoDataset,all_paths,PRECISION,Real Time,0.8181818181818182,True
Moscot,SuoDataset,all_paths,RECALL,Real Time,0.7258064516129032,True
Moscot,SuoDataset,all_paths,AUC_ROC,Real Time,0.5537178786221979,True
Moscot,SuoDataset,simple,threshold,Real Time,0.0,True
Moscot,SuoDataset,simple,F1,Real Time,0.16666666666666666,True
Moscot,SuoDataset,simple,AUC_PRC,Real Time,0.27140132290892005,True
Moscot,SuoDataset,simple,PRECISION,Real Time,0.09090909090909091,True
Moscot,SuoDataset,simple,RECALL,Real Time,1.0,True
Moscot,SuoDataset,simple,AUC_ROC,Real Time,0.6765765765765765,True
Moscot,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.08138889,True
Moscot,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.46468941873959957,True
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Real Time,0.5,True
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Real Time,1.0,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Real Time,0.2993827160493827,True
Moscot,GarciaAlonsoDataset,simple,threshold,Real Time,0.030271398,True
Moscot,GarciaAlonsoDataset,simple,F1,Real Time,0.3448275862068966,True
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.36704756596060945,True
Moscot,GarciaAlonsoDataset,simple,PRECISION,Real Time,0.20833333333333334,True
Moscot,GarciaAlonsoDataset,simple,RECALL,Real Time,1.0,True
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Real Time,0.6451612903225806,True
Moscot,MaDataset,all_paths,threshold,Real Time,0.1369748,True
Moscot,MaDataset,all_paths,F1,Real Time,0.875,True
Moscot,MaDataset,all_paths,AUC_PRC,Real Time,0.6438271604938273,True
Moscot,MaDataset,all_paths,PRECISION,Real Time,1.0,True
Moscot,MaDataset,all_paths,RECALL,Real Time,0.7777777777777778,True
Moscot,MaDataset,all_paths,AUC_ROC,Real Time,0.42857142857142855,True
Moscot,MaDataset,simple,threshold,Real Time,0.03009027,True
Moscot,MaDataset,simple,F1,Real Time,0.5,True
Moscot,MaDataset,simple,AUC_PRC,Real Time,0.7777777777777777,True
Moscot,MaDataset,simple,PRECISION,Real Time,0.3333333333333333,True
Moscot,MaDataset,simple,RECALL,Real Time,1.0,True
Moscot,MaDataset,simple,AUC_ROC,Real Time,0.8461538461538461,True
Moscot,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.07638191,True
Moscot,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8372093023255814,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.5222879991720571,True
Moscot,GarciaAlonsoDataset,all_paths,PRECISION,Pseudotime,0.72,True
Moscot,GarciaAlonsoDataset,all_paths,RECALL,Pseudotime,1.0,True
Moscot,GarciaAlonsoDataset,all_paths,AUC_ROC,Pseudotime,0.4444444444444444,True
Moscot,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.066715725,True
Moscot,GarciaAlonsoDataset,simple,F1,Pseudotime,0.5882352941176471,True
Moscot,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.5360606060606061,True
Moscot,GarciaAlonsoDataset,simple,PRECISION,Pseudotime,0.4166666666666667,True
Moscot,GarciaAlonsoDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,GarciaAlonsoDataset,simple,AUC_ROC,Pseudotime,0.8709677419354839,True
Moscot,SuoDataset,all_paths,threshold,Pseudotime,0.026381668,True
Moscot,SuoDataset,all_paths,F1,Pseudotime,0.7482014388489209,True
Moscot,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5891701860410762,True
Moscot,SuoDataset,all_paths,PRECISION,Pseudotime,0.6753246753246753,True
Moscot,SuoDataset,all_paths,RECALL,Pseudotime,0.8387096774193549,True
Moscot,SuoDataset,all_paths,AUC_ROC,Pseudotime,0.5680699835975942,True
Moscot,SuoDataset,simple,threshold,Pseudotime,0.00012528973,True
Moscot,SuoDataset,simple,F1,Pseudotime,0.19047619047619047,True
Moscot,SuoDataset,simple,AUC_PRC,Pseudotime,0.22343608596589593,True
Moscot,SuoDataset,simple,PRECISION,Pseudotime,0.10526315789473684,True
Moscot,SuoDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,SuoDataset,simple,AUC_ROC,Pseudotime,0.6833333333333333,True
Moscot,MaDataset,all_paths,threshold,Pseudotime,0.112059474,True
Moscot,MaDataset,all_paths,F1,Pseudotime,0.9473684210526315,True
Moscot,MaDataset,all_paths,AUC_PRC,Pseudotime,0.5987654320987654,True
Moscot,MaDataset,all_paths,PRECISION,Pseudotime,0.9,True
Moscot,MaDataset,all_paths,RECALL,Pseudotime,1.0,True
Moscot,MaDataset,all_paths,AUC_ROC,Pseudotime,0.5079365079365079,True
Moscot,MaDataset,simple,threshold,Pseudotime,0.09785203,True
Moscot,MaDataset,simple,F1,Pseudotime,0.8571428571428571,True
Moscot,MaDataset,simple,AUC_PRC,Pseudotime,0.6388888888888888,True
Moscot,MaDataset,simple,PRECISION,Pseudotime,0.75,True
Moscot,MaDataset,simple,RECALL,Pseudotime,1.0,True
Moscot,MaDataset,simple,AUC_ROC,Pseudotime,0.9230769230769231,True
Moscot,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.625,True
Moscot,SuoDataset,simple,JaccardSimilarity,Real Time,0.09090909090909091,True
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5,True
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.20833333333333334,True
Moscot,MaDataset,all_paths,JaccardSimilarity,Real Time,0.7777777777777778,True
Moscot,MaDataset,simple,JaccardSimilarity,Real Time,0.3333333333333333,True
Moscot,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.72,True
Moscot,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.4166666666666667,True
Moscot,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5977011494252874,True
Moscot,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.10526315789473684,True
Moscot,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.9,True
Moscot,MaDataset,simple,JaccardSimilarity,Pseudotime,0.75,True
scNODE embeds,SuoDataset,all_paths,threshold,Real Time,0.023322044,False
scNODE embeds,SuoDataset,all_paths,F1,Real Time,0.7910447761194029,False
scNODE embeds,SuoDataset,all_paths,AUC_PRC,Real Time,,False
scNODE embeds,SuoDataset,all_paths,PRECISION,Real Time,0.7361111111111112,False
scNODE embeds,SuoDataset,all_paths,RECALL,Real Time,0.8548387096774194,False
scNODE embeds,SuoDataset,all_paths,AUC_ROC,Real Time,0.46282121377802077,False
scNODE embeds,SuoDataset,simple,threshold,Real Time,0.0044727335,False
scNODE embeds,SuoDataset,simple,F1,Real Time,0.2909090909090909,False
scNODE embeds,SuoDataset,simple,AUC_PRC,Real Time,,False
